id,badwords
1599,lesbain
1600,mad
1601,sniggers
1602,jizm 
1603,testicle
1604,ball sucking
1605,dragqween
1606,guro
1607,pubic
1608,titfuckin
1609,moneyshot
1610,camslut
1611,bountybar
1612,assklown
1613,cocky
1614,transsexual
1615,unfuckable
1616,bestiality
1617,cocklicker
